name,url,price,rating,number of reviews,description,asin,manufacturer
"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU) ",https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_79?crid=2M096C61O4MLT&keywords=bags&qid=1675443607&sprefix=ba%2Caps%2C283&sr=8-79,669,3.8 out of 5 stars,2," 
 Safari Spartan is a 21 litres lightweight backpack that would be your perfect daily companion. It is perfect for carrying all your essentials when you are ready to go! Made of high grade water resistant polyester fabric, makes this backpack durable and a long lasting accessory. Safari Spartan also comes with a quick access front pocket and side mesh pockets to keep your essentials organized.  ",B09B26MB5M,Visit the Safari Store
Wesley Xenon Laptop Bag ,https://www.amazon.in/Wesley-Briefcase-Professional-Messenger-Resistant/dp/B08K7PN23C/ref=sr_1_80?crid=2M096C61O4MLT&keywords=bags&qid=1675443607&sprefix=ba%2Caps%2C283&sr=8-80,599,4.0 out of 5 stars,",06"," 
 WESLEY This Slim Laptop briefcase Bag with very stylish design offers a simple and fashionable way to protect your Laptop / Notebook / MacBook.very well on the go, and is also very easy to organize your other items for work. Built for Protection The safety of your laptop is our primary concern. The dual zippered laptop compartment with thick foam padding & fluffy lining provides extra protection that effectively absorbs accidental bumps, reduces damages caused by impacts, and protects your device from scratches. Wesley Laptop Bag Suitable for 15.6 inch Designed for Convenience Very lightweight & slim design. Luggage Strap designed on the back, easily fixed to trolley suitcase for travel,providing more convenience. Dual zippered access enable easy and quick access to your inside laptop. Well Water-resistant, keeps inside items dry on rainy day. Well Constructed Comes with best durable fabric help your laptop safe and give your bag long life Gender: Unisex Application: Business/Travel/College/Casual/Outdoor/... Package:1 x Laptop Bag  ",B08K7PN23C,Brand: Wesley
ZIPLINE Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag ,https://www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_81?crid=2M096C61O4MLT&keywords=bags&qid=1675443607&sprefix=ba%2Caps%2C283&sr=8-81,498,3.7 out of 5 stars,1," 
 A super-slim design, trendy looks and durable construction - this stylish 36 L backpack from ZIPLINE has got everything that will complement your youthful personality. With its spacious interiors, this unisex backpack is a great option for short road trips, college and work. Ergonomic design Crafted from polyester, this medium backpack is sturdy enough to withstand regular wear and tear gracefully. It features a cushioned base and internal back padding to offer you extra comfort. The padded shoulder straps of this bag can be easily adjusted according to your liking. Spacious Featuring one front pocket and three main compartments, all with speciality zippers, this bag offers you enough space to carry your books, files, coins, travel accessories, stationery, keys and mobile accessories. It comes with the ZIPLINE promise of quality.Product Description  ",B08WQ668WJ,Visit the Zipline Store
Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty ,https://www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_82?crid=2M096C61O4MLT&keywords=bags&qid=1675443607&sprefix=ba%2Caps%2C283&sr=8-82,843,4.1 out of 5 stars,",86",not available,B09321GJXZ,Visit the Bennett Store
Nivia Polyester String Bag ,https://www.amazon.in/Nivia-5177BK-Polyester-String-Black/dp/B071XM6PSM/ref=sr_1_83?crid=2M096C61O4MLT&keywords=bags&qid=1675443607&sprefix=ba%2Caps%2C283&sr=8-83,512,4.1 out of 5 stars,6," 
",B071XM6PSM,Visit the Nivia Store
HP 100 Lightweight Backpack for 15.6-inch Laptop with Elastic and Padded Shoulder Straps (Black) ,https://www.amazon.in/HP-Lightweight-100-Black-Backpack/dp/B08CY1YXCK/ref=sr_1_84?crid=2M096C61O4MLT&keywords=bags&qid=1675443607&sprefix=ba%2Caps%2C283&sr=8-84,159,4.0 out of 5 stars,1," 
",B08CY1YXCK,not available
"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjMwMjg4ODc2OTY2NDM5OjE2NzU0NDM2MDc6c3BfYnRmOjIwMDQzMzIxMTM2NjA2OjowOjo&url=%2FCOSMUS-Multipurpose-Backpack-Bag-compartment%2Fdp%2FB078JVT384%2Fref%3Dsr_1_85_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675443607%26sprefix%3Dba%252Caps%252C283%26sr%3D8-85-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,897,4.2 out of 5 stars,",16"," 
 Designed to give ultimate comfort, this school bag from Cosmus is a Multipurpose Backpack Bag use it as school bag or regular casual backpack for daily use.  This school bag is designed with copious space and sturdy shoulder straps to help children accommodate all essentials while on the move. Key Features High on quality and durability Attractive design Spacious to accommodate all essentials Two main compartment, two front compartment Two side Mesh pockets Specifications Material PU coated Polyester Fabric. Dimensions: 13 x 18 x 8.5 [inches] (WxHxD); Weight: 755 gms Suggestive Age - 8 Years+  ",B078JVT384,Visit the COSMUS Store
URBAN TRIBE Move Travel/Office/Casual/Laptop Backpack ,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjMwMjg4ODc2OTY2NDM5OjE2NzU0NDM2MDc6c3BfYnRmOjIwMTA0MTQwMjY0Mjk4OjowOjo&url=%2FURBAN-TRIBE-Move-Backpack-Repellent%2Fdp%2FB0BP1QM6W5%2Fref%3Dsr_1_86_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675443607%26sprefix%3Dba%252Caps%252C283%26sr%3D8-86-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1%26smid%3DA385M0TPSNV7VS,"1,999",3.5 out of 5 stars,," 
 Made with strong and premium 450D Polyester Max padded 15.4"" Laptop compartment Cool and stylish looks Unique front quick access mesh pockets Large front pocket for extra convenience Available in smart colors  ",B0BP1QM6W5,Visit the Urban Tribe Store
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODM1MDk3NTU0Mjc3MDYwOjE2NzU0NDM2Nzc6c3BfYXRmX25leHQ6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_81_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675443677%26sprefix%3Dba%252Caps%252C283%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"1,169",3.9 out of 5 stars,684,not available,B01LXNNFDF,Visit the Urban Tribe Store
Lavie Sport Chairman Director Business Laptop Bags | Premium Leatherette Business Backpacks for Men & Women | Durable Office Bag for Notebook/MacBook ,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODM1MDk3NTU0Mjc3MDYwOjE2NzU0NDM2Nzc6c3BfYXRmX25leHQ6MjAxMDg1OTU1OTgwOTg6OjA6Og&url=%2FLavie-Sport-Chairman-Compatible-compartments%2Fdp%2FB0B45SWK51%2Fref%3Dsr_1_82_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675443677%26sprefix%3Dba%252Caps%252C283%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"1,099",4.1 out of 5 stars,577," 
",B0B45SWK51,Visit the Lavie Sport Store
F Gear Enzo Sports Waist Bag (.Red) ,https://www.amazon.in/F-Gear-Enzo-Red-Sports-Waist-Bag/dp/B0862LF7HS/ref=sr_1_83?crid=2M096C61O4MLT&keywords=bags&qid=1675443677&sprefix=ba%2Caps%2C283&sr=8-83,197,4.2 out of 5 stars,751," 
 The product will be an excellent pick for you. It ensures an easy maintenance.  ",B0862LF7HS,Visit the F Gear Store
ZIPLINE Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag Weekend Bag ,https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_84?crid=2M096C61O4MLT&keywords=bags&qid=1675443677&sprefix=ba%2Caps%2C283&sr=8-84,843,4.0 out of 5 stars,"4,943",not available,B07XVMR33Q,Visit the Zipline Store
Amazon Brand - Eden & Ivy Women's Sling Bag ,https://www.amazon.in/Amazon-Brand-Womens-Sling-Mustard/dp/B07XBZR7SR/ref=sr_1_85?crid=2M096C61O4MLT&keywords=bags&qid=1675443677&sprefix=ba%2Caps%2C283&sr=8-85,599,4.1 out of 5 stars,559," 
",B07XBZR7SR,Visit the Amazon Brand - Eden & Ivy Store
"Chic Buddy Waterproof Wet Bag, Washable, Reusable for Travel, Beach, Pool, Stroller, Diapers, Dirty Gym Clothes, Wet Swimsuits, Toiletries ",https://www.amazon.in/Chic-Buddy-Waterproof-Swimsuits-Toiletries/dp/B09KSBHC18/ref=sr_1_86?crid=2M096C61O4MLT&keywords=bags&qid=1675443677&sprefix=ba%2Caps%2C283&sr=8-86,299,4.5 out of 5 stars,257,not available,B0B2RKM6M8,Visit the Chic Buddy Store
"Motherly Diaper Bags for Mom Travel Basic Edition (Navy Blue,Pack of 1) ",https://www.amazon.in/Motherly-Diaper-Bags-Travel-Basic/dp/B07PKQ3WJZ/ref=sr_1_87?crid=2M096C61O4MLT&keywords=bags&qid=1675443677&sprefix=ba%2Caps%2C283&sr=8-87,"1,516",4.5 out of 5 stars,"2,472"," 
 We have got all that parents require in MOTHERLY DIAPER BAGS: Our Quick Pack Diaper Backpack, as the name suggests, is an economical, travel-friendly, waterproof, lightweight, spacious, and easy to clean and handle moms’s baby care accessory that is a bargain to buy. 12 roomy pockets, 3 insulated milk bottle pockets (18 cm in length each), anti-theft mobile compartment, independent interior wet-dry separator for keeping wet & soiled clothes away from dry ones, fitted zipper closures, adjustable cushioned shoulder straps, front-back zipper openings for 2-way reachability, subtle and chic color combos are some of the many multi-utility benefits you are assisted with. Convenient hands-free usage with D-rings combined with an easy grab-top handle to make it a brilliant carry companion (as a tote/travel/regular diaper bag) and gifting option for the moms and moms-to-be(s) in your list. Take it out for a spin with effortless organizing and exclusive style without burning a hole in your pockets. Whether you are handling things solo or traveling with your peeps, Motherly Diaper Bags are bound to make a lifestyle statement among your friends and family!!!  ",B07PKQ3WJZ,Visit the motherly Store
Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men ,https://www.amazon.in/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174/ref=sr_1_88?crid=2M096C61O4MLT&keywords=bags&qid=1675443677&sprefix=ba%2Caps%2C283&sr=8-88,664,4.1 out of 5 stars,"3,613",not available,B0855F8174,Brand: Bagneeds
"House of Quirk Hanging Travel Toiletry Bag, Waterproof Dopp Kit for Shaving Makeup Accessories, Men Cosmetic Organizer with Large Capacity, for Gym, Camping - Black ",https://www.amazon.in/House-Quirk-Hanging-Toiletry-Organizer/dp/B072MH8KBB/ref=sr_1_89?crid=2M096C61O4MLT&keywords=bags&qid=1675443677&sprefix=ba%2Caps%2C283&sr=8-89,399,4.0 out of 5 stars,"1,922",not available,B072MH8KBB,Visit the House of Quirk Store
Gear Moderneco5 21L Water Resistant School Bag/Backpack/College Bag For Men/Women - Navyblue ,https://www.amazon.in/Gear-Ltrs-Casual-Backpack-MDBKPECO50504/dp/B0757K36YV/ref=sr_1_90?crid=2M096C61O4MLT&keywords=bags&qid=1675443677&sprefix=ba%2Caps%2C283&sr=8-90,429,3.9 out of 5 stars,"2,497"," 
 One wide access main compartment, one additional front pocket and one bottle pocket. Easily Adjustable padded shoulder straps with anti-sweat fabric underneath.  ",B0757K36YV,Brand: Gear
"Red Lemon Titan Ultrafit Bange 55L Capacity 15.6-inch Laptop Bags Backpacks for Men and Women Outdoor and Camping Bags 3in1 Office Bags, Travel Travelling Backpack, Hiking Backpack Day Backpack-Black ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODM1MDk3NTU0Mjc3MDYwOjE2NzU0NDM2Nzc6c3BfbXRmOjIwMTEwMDgyMjQwOTk4OjowOjo&url=%2FUltrafit-15-6-inch-Backpacks-Travelling-Backpack-Black%2Fdp%2FB082Y7TZ8Z%2Fref%3Dsr_1_91_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675443677%26sprefix%3Dba%252Caps%252C283%26sr%3D8-91-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"3,799",4.5 out of 5 stars,258,not available,B082Y7TZ8Z,Visit the Red Lemon Store
"Wenger 17.5"" ScanSmart Laptop Backpack, 30 Litres, Black, Swiss Designed-blend of style & function, 612014 ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODM1MDk3NTU0Mjc3MDYwOjE2NzU0NDM2Nzc6c3BfbXRmOjIwMDc4OTIwNzc5Mzk4OjowOjo&url=%2FScanSmart-Backpack-Designed-blend-function-612014%2Fdp%2FB09V1GJ7D6%2Fref%3Dsr_1_92_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675443677%26sprefix%3Dba%252Caps%252C283%26sr%3D8-92-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"5,600",4.0 out of 5 stars,21," 
 The Wenger 17.5"" ScanSmart Laptop Backpack marries contemporary design with innovative storage solutions. Crafted from durable polyester, this backpack means business. This classic backpack is simple yet stylish. Its minimalistic look makes it the ideal accessory to take along to the office, college, school or on trips. Brought to you by Wenger, a renowned Swiss company since 1893.  ",B09V1GJ7D6,Visit the WENGER Store
F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814) ,https://www.amazon.in/Gear-Colorado-Orange-Laptop-Backpack/dp/B097K6KD7W/ref=sr_1_93?crid=2M096C61O4MLT&keywords=bags&qid=1675443677&sprefix=ba%2Caps%2C283&sr=8-93,662,4.4 out of 5 stars,93," 
 F Gear presents gigantic laptop backpack blends style and functionality. It comes with substantial capacity to accommodate your laptop and several other essentials with ease. This bag does way more than just look good. It provides extra protection for all your valuable devices. The dimensions of the bag are - 34 x 22 x 52 with a capacity of 39 L. To describe it briefly here are the following points: 1. This backpack is made of polyester fabric and is treated to make it water-resistant. 2. This backpack comes with 2-main zippered compartment with an inside sleeve compatible for laptop. 3. This backpack has a front compartment with an organizer. 4. This backpack comes with one zippered front pocket & one quick access mesh zippered. 5. This backpack is equipped with thick padding with anti-sweat breathable air mesh & adjustable padded shoulder straps for extra comfort. 6. Apart from this it has world’s best Japanese brand YKK zippers and sliders. 7. This backpack has two mesh pockets on both sides. 8. Comes with the F Gear promise of quality and durability.  ",B097K6KD7W,Visit the F Gear Store
Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack ,https://www.amazon.in/Fur-Jaden-Rucksack-Backpack-BM43_Blue/dp/B07PS38XSP/ref=sr_1_94?crid=2M096C61O4MLT&keywords=bags&qid=1675443677&sprefix=ba%2Caps%2C283&sr=8-94,269,3.6 out of 5 stars,"7,434"," 
 The product will be an excellent pick for you. It ensures an easy maintenance. With Rain Cover : No  ",B07PS38XSP,Visit the FUR JADEN Store
Alifiya Polyester MacBook Laptop Sleeve Bag 16 Inch with Charger Pouch (Grey_L26) ,https://www.amazon.in/Alifiya-Polyester-MacBook-Charger-Grey_L26/dp/B09GP79C4C/ref=sr_1_95?crid=2M096C61O4MLT&keywords=bags&qid=1675443677&sprefix=ba%2Caps%2C283&sr=8-95,384,4.2 out of 5 stars,90,not available,B09GP79C4C,Visit the ALIFIYA Store
GOCART WITH G LOGO Laptop Backpack Casual Daypacks Briefcase Convertible Business Travel Rucksack with USB Charging Port Large College School Bookbag Computer Laptop Bag ,https://www.amazon.in/GOCART-LOGO-Backpack-Briefcase-Convertible/dp/B0822H451W/ref=sr_1_96?crid=2M096C61O4MLT&keywords=bags&qid=1675443677&sprefix=ba%2Caps%2C283&sr=8-96,"1,499",3.9 out of 5 stars,"1,296"," 
",B0822H451W,Visit the GOCART WITH G LOGO Store
Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty) ,https://www.amazon.in/BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK/ref=sr_1_97?crid=2M096C61O4MLT&keywords=bags&qid=1675443677&sprefix=ba%2Caps%2C283&sr=8-97,512,4.1 out of 5 stars,"4,862",not available,B09CV24TMK,Visit the Bennett Store
"Genie Clara Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. ",https://www.amazon.in/Genie-Clara-Backpack-Women-compartments/dp/B097JJGR1N/ref=sr_1_98?crid=2M096C61O4MLT&keywords=bags&qid=1675443677&sprefix=ba%2Caps%2C283&sr=8-98,"1,025",4.2 out of 5 stars,29," 
 How do you describe a Perfect School Backpack? Spacious enough to carry all the books, yet Light Weight! Padded Laptop Sleeve to keep it secure and sound. Multiple Pockets to segregate all the items and keep it easily accessible. An Organizer to keep your each and every school supplies in an arranged manner. Side Pocket to keep the Water Bottle. Water Resistant exteriors to keep all your worries at bay and lastly, latest and trendy design to keep those ""Cute Bagpack"" compliment coming in! Yes. We have that Perfect Bag for you, in our Genie store. Bringing you a cute, stylish and trendy design, Genie Clara School Bag.  ",B097JJGR1N,Visit the Genie Store
"Pigeon Breast Milk Storage Bag,Secure Seal & easy Storage,Hygienic Breast Milk Storage,Leak Proof,Zipper Zeal Breast Milk Storage,5 pcs ",https://www.amazon.in/Pigeon-Breast-Milk-Storage-Pieces/dp/B01M5DGMZ9/ref=sr_1_99_mod_primary_new?crid=2M096C61O4MLT&keywords=bags&qid=1675443677&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=8-99,148,4.3 out of 5 stars,442," 
 PIGEON Your Breastfeeding Companion The milk you express for your baby is very precious, therefore it is very important to store it carefully and keep it well preserved. PIGEON's Breastmilk Storage Bags are pre-sterilized with gamma ray and are BPA-Free. It has a convenient pour spout for transferring breastmilk, a waterproof ""write-on"" tab for mothers and a unique double zipper seal for extra security. For ease of use, the storage bags are self-standing and milk can also be thawed easily by storing flat in the freezer.  ",B01M5DGMZ9,Visit the Pigeon Store
"₹115₹115 ₹148₹148  (22% off) Get it by Tomorrow, February 4FREE Delivery by Amazon ",https://www.amazon.in/Pigeon-Breast-Milk-Storage-Pieces/dp/B01M5DGMZ9/ref=sr_1_99_mod_new?crid=2M096C61O4MLT&keywords=bags&qid=1675443677&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=8-99,115,4.2 out of 5 stars,"2,289"," 
 PIGEON Your Breastfeeding Companion The milk you express for your baby is very precious, therefore it is very important to store it carefully and keep it well preserved. PIGEON's Breastmilk Storage Bags are pre-sterilized with gamma ray and are BPA-Free. It has a convenient pour spout for transferring breastmilk, a waterproof ""write-on"" tab for mothers and a unique double zipper seal for extra security. For ease of use, the storage bags are self-standing and milk can also be thawed easily by storing flat in the freezer.  ",B01M5DGMZ9,Visit the Pigeon Store
"Genie Spritz Daypack 14 inch, Stylish and Trendy College backpacks for girls, Water Resistant and Lightweight Mini Bags for Travelling Purpose. Latest Collection of Backpack for women (Rose) ",https://www.amazon.in/Genie-Spritz-Daypack-Fashion-Backpack/dp/B083ZDT8SD/ref=sr_1_100?crid=2M096C61O4MLT&keywords=bags&qid=1675443677&sprefix=ba%2Caps%2C283&sr=8-100,349,4.2 out of 5 stars,"2,166"," 
 Genie brings to you versatile light weight daypacks that are the perfect alternative to standard backpack and travel purses! Spritz Rose daypack by Genie is apt for city life as it fits in all your essentials. The fun and cute design makes it the best accessory for every fashionable girl.  ",B083ZDT8SD,Visit the Genie Store
